ID,Respondent Profile (Hidden),1. How did you hear about AI Janala?,2. Which language did you use in the chat?,3. What device were you on?,4. What did you ask about?,5. How clear was the answer you got?,6. How much did you trust the answer was accurate?,"7. Was anything confusing, wrong, or missing?",8. Would you recommend this to a friend or family member?,9. What is one thing that would make this more useful for you?,10. Age range and district or city
1,BCS Cadre,Friend or family,Bengali,Phone,AI and jobs,3,3,Missed some local Bangladesh context.,Maybe,Ensure strict data privacy,"28-35, Dhaka"
2,Student,University,English,Laptop or desktop,Something else (Scholarships/Studies),3,4,,No,Information on scholarships,"18-24, Bogura"
3,BCS Cadre,Friend or family,Bengali,Phone,AI in government or policy,3,3,,Yes,Make it faster,"28-35, Mymensingh"
4,Banker,Facebook/WhatsApp,Bengali,Laptop or desktop,AI and jobs,3,3,Could be simpler.,Yes,More accurate financial terminology in Bengali,"46-55, Dhaka"
5,Banker,LinkedIn,English,Phone,AI and jobs,5,2,Could be simpler.,Yes,More accurate financial terminology in Bengali,"36-45, Dhaka"
6,BCS Cadre,Friend or family,Both,Phone,AI in government or policy,3,3,,Yes,Offline support through SMS,"28-35, Bogura"
7,BCS Cadre,LinkedIn,Bengali,Phone,AI in government or policy,3,4,Missed some local Bangladesh context.,Yes,Include more local examples,"46-55, Rajshahi"
8,Banker,LinkedIn,Bengali,Phone,Something else (Banking automation),5,2,,Yes,Add voice input in Bengali,"25-35, Dhaka"
9,Student,University,Bengali,Phone,Something else (Scholarships/Studies),5,5,All good.,Maybe,Information on scholarships,"19-23, Chattogram"
10,IT Professional,LinkedIn,Both,Laptop or desktop,Something else (Code generation),5,2,Missed some local Bangladesh context.,Yes,Offline support through SMS,"22-30, Dhaka"
11,Student,University,Both,Phone,Something else (Scholarships/Studies),3,4,,No,Make it faster,"19-23, Mymensingh"
12,Banker,LinkedIn,Both,Phone,AI and jobs,3,2,,Yes,Data on Bangladesh Bank regulations,"46-55, Dhaka"
13,BCS Cadre,Facebook/WhatsApp,Both,Phone,AI in government or policy,3,5,,Yes,Add circular references,"28-35, Rajshahi"
14,Student,University,Both,Phone,What AI is,3,3,Missed some local Bangladesh context.,No,Better regional language understanding,"20-25, Cumilla"
15,BCS Cadre,Facebook/WhatsApp,Bengali,Phone,AI in government or policy,4,5,Missed some local Bangladesh context.,Maybe,Include more local examples,"46-55, Rajshahi"
16,BCS Cadre,Friend or family,Both,Phone,AI in government or policy,3,5,,Maybe,Make it faster,"36-45, Bogura"
17,IT Professional,Facebook/WhatsApp,English,Phone,AI and jobs,4,4,A bit confusing on specific government policies.,Yes,Citations for claims,"41-50, Dhaka"
18,Student,LinkedIn,Both,Phone,AI and jobs,4,4,,Yes,Include more local examples,"20-25, Dhaka"
19,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Education for kids),5,5,,Yes,Add voice input in Bengali,"36-50, Rajshahi"
20,BCS Cadre,LinkedIn,English,Phone,What AI is,5,3,,Yes,Include more local examples,"28-35, Cumilla"
21,IT Professional,Other,Both,Laptop or desktop,AI and jobs,4,3,Missed some local Bangladesh context.,Yes,Citations for claims,"22-30, Dhaka"
22,IT Professional,Other,Both,Phone,Something else (Code generation),5,2,,Maybe,Include more local examples,"31-40, Dhaka"
23,Small Business Owner,Friend or family,Bengali,Phone,Something else (How to grow business),4,5,,Yes,Include loan information or SME resources,"36-50, Dhaka"
24,BCS Cadre,Facebook/WhatsApp,Bengali,Laptop or desktop,AI in government or policy,4,3,Could be simpler.,Maybe,Add circular references,"46-55, Rajshahi"
25,Student,Facebook/WhatsApp,Both,Tablet,Something else (Scholarships/Studies),5,3,Could be simpler.,Yes,Add voice input in Bengali,"19-23, Rajshahi"
26,IT Professional,LinkedIn,English,Phone,Something else (Code generation),3,3,,Maybe,More technical depth,"41-50, Chattogram"
27,IT Professional,LinkedIn,English,Laptop or desktop,Something else (Code generation),4,4,Missed some local Bangladesh context.,Yes,Citations for claims,"41-50, Chattogram"
28,Small Business Owner,Friend or family,Bengali,Phone,What AI is,5,3,Could be simpler.,Yes,Include loan information or SME resources,"50+, Cumilla"
29,Banker,LinkedIn,Bengali,Laptop or desktop,AI and jobs,3,3,Missed some local Bangladesh context.,Maybe,Offline support through SMS,"36-45, Chattogram"
30,Housewife,Facebook/WhatsApp,Bengali,Phone,Something else (Education for kids),4,5,A bit confusing on specific government policies.,Maybe,Better regional language understanding,"25-35, Mymensingh"
31,IT Professional,LinkedIn,English,Laptop or desktop,Something else (Code generation),4,2,Could be simpler.,Yes,Make it faster,"41-50, Chattogram"
32,Housewife,Facebook/WhatsApp,Bengali,Phone,What AI is,5,5,,Yes,Better regional language understanding,"36-50, Cumilla"
33,BCS Cadre,Friend or family,Both,Phone,AI in government or policy,3,5,Missed some local Bangladesh context.,Yes,Add voice input in Bengali,"36-45, Sylhet"
34,Banker,LinkedIn,Both,Phone,Something else (Banking automation),4,2,Could be simpler.,Yes,Include more local examples,"36-45, Sylhet"
35,Student,Facebook/WhatsApp,English,Laptop or desktop,What AI is,5,3,A bit confusing on specific government policies.,Yes,Help with specific university subjects,"20-25, Dhaka"
36,Housewife,Facebook/WhatsApp,Bengali,Phone,What AI is,3,3,A bit confusing on specific government policies.,No,Better regional language understanding,"50+, Khulna"
37,BCS Cadre,Friend or family,Bengali,Laptop or desktop,AI and jobs,5,3,Missed some local Bangladesh context.,Maybe,Include more local examples,"28-35, Khulna"
38,Student,Facebook/WhatsApp,Both,Laptop or desktop,Something else (Scholarships/Studies),5,3,,Yes,Offline support through SMS,"19-23, Sylhet"
39,Small Business Owner,Other,Bengali,Laptop or desktop,Something else (Marketing),2,5,Answers were a bit too long.,No,Include loan information or SME resources,"50+, Bogura"
40,Student,Facebook/WhatsApp,Both,Phone,What AI is,4,5,A bit confusing on specific government policies.,Yes,Make it faster,"20-25, Chattogram"
41,BCS Cadre,Other,English,Phone,AI in government or policy,5,4,,Yes,Integrate directly with MOPA guidelines,"36-45, Sylhet"
42,Student,Facebook/WhatsApp,Both,Laptop or desktop,AI and jobs,4,4,Missed some local Bangladesh context.,Yes,Help with specific university subjects,"19-23, Bogura"
43,IT Professional,Friend or family,English,Laptop or desktop,Something else (Code generation),4,4,A bit confusing on specific government policies.,Maybe,Better regional language understanding,"22-30, Chattogram"
44,Banker,Other,English,Laptop or desktop,AI and jobs,4,2,,Yes,Add voice input in Bengali,"36-45, Dhaka"
45,Student,University,Both,Phone,AI and jobs,3,5,A bit confusing on specific government policies.,Yes,Make it faster,"18-24, Dhaka"
46,Student,LinkedIn,Bengali,Phone,AI and jobs,5,5,,Yes,Information on scholarships,"19-23, Chattogram"
47,Student,Friend or family,Both,Phone,Something else (Scholarships/Studies),4,4,A bit confusing on specific government policies.,Yes,Make it faster,"19-23, Mymensingh"
48,Student,Facebook/WhatsApp,Bengali,Phone,AI and jobs,4,3,,Yes,Information on scholarships,"19-23, Bogura"
49,BCS Cadre,Facebook/WhatsApp,English,Phone,AI in government or policy,4,5,,Yes,Offline support through SMS,"28-35, Cumilla"
50,Student,University,Both,Phone,AI and jobs,3,4,A bit confusing on specific government policies.,No,Offline support through SMS,"18-24, Barishal"
